Genome,K-group
Parasynechococcus africanus CC9605,0
Parasynechococcus chilensis CC9902,0
Parasynechococcus marearabicus WH 8109,0
Parasynechococcus marenigrum WH 8102,0
Parasynechococcus marenigrum WH 8103,0
Parasynechococcus marenigrum YX04-3,0
Parasynechococcus nordiatlanticus BL107,0
Parasynechococcus sp. CC9616,0
Parasynechococcus sp. KORDI-100,0
Parasynechococcus sp. KORDI-49,0
Parasynechococcus sp. KORDI-52,0
Parasynechococcus sp. N19,0
Parasynechococcus sp. N26,0
Parasynechococcus sp. N32,0
Parasynechococcus sp. N5,0
Parasynechococcus sp. REDSEA-S01_B1,0
Parasynechococcus sp. REDSEA-S02_B4,0
Parasynechococcus sp. UW106,0
Parasynechococcus sp. UW69,0
Parasynechococcus sp. UW86,0
Pseudosynechococcus sp. MED-G68,0
Enugrolinea Euryhalinus PCC 11901,1
Enugrolinea euryhalinus BDU 130192,1
Enugrolinea euryhalinus NKBG042902,1
Enugrolinea euryhalinus OG1,1
Enugrolinea euryhalinus PCC 7002,1
Enugrolinea euryhalinus PCC 7117,1
Enugrolinea euryhalinus PCC 73109,1
Enugrolinea euryhalinus PCC 8807,1
Enugrolinea euryhalinus PCC_7002,1
Enugrolinea sp. NIES-970,1
Enugrolinea sp. NKBG15041c,1
Enugrolinea sp. PCC 7003,1
Leptococcus springii JA-2-3-Ba,2
Leptococcus yellowstonii 60AY4M2,2
Leptococcus yellowstonii 63AY4M1,2
Leptococcus yellowstonii 63AY4M2,2
Leptococcus yellowstonii 65AY640,2
Leptococcus yellowstonii 65AY6A5,2
Leptococcus yellowstonii 65AY6Li,2
Leptococcus yellowstonii JA-3-3Ab,2
Thermosynechococcus elongatus PKUAC-SCTE542,3
Thermosynechococcus sp. CL-1,3
Thermosynechococcus sp. NK55a,3
Thermosynechococcus sp. PCC 6715,3
Thermosynechococcus vulcanus BP-1,3
Thermosynechococcus vulcanus NIES-2134,3
Lacustricoccus lacustris TousA,4
Lacustricoccus lacustris TousB,4
Magnicoccus sudiatlanticus CB0101,4
Pseudosynechococcus equatorialis RS9917,4
Regnicoccus antarcticus WH 5701,4
Regnicoccus sp. 1G10,4
Regnicoccus sp. 8F6,4
Regnicoccus sp. Ace-Pa,4
Regnicoccus sp. BO 8801,4
Regnicoccus sp. MW101C3,4
Regnicoccus sp. SynAce01,4
Synechospongium sp. SB0662_bin_14,5
Synechospongium sp. SB0666_bin_14,5
Synechospongium sp. SB0667_bin_8,5
Synechospongium sp. SB0668_bin_13,5
Synechospongium sp. SB0668_bin_15,5
Synechospongium sp. SB0675_bin_6,5
Synechospongium sp. SB0675_bin_7,5
Synechospongium sp. SB0677_bin_5,5
Synechospongium sp. SP3,5
Inmanicoccus mediterranei RCC307,6
Inmanicoccus sp. TMED19,6
Magnicoccus indicus CB0205,6
Magnicoccus indicus XM-24,6
Pseudosynechococcus benguelii CC9311,6
Pseudosynechococcus gyrus RS9916,6
Pseudosynechococcus pacificus WH 7803,6
Pseudosynechococcus sp. BS55D,6
Pseudosynechococcus sp. BS56D,6
Pseudosynechococcus sp. GEYO,6
Pseudosynechococcus sp. MED-G135,6
Pseudosynechococcus sp. MIT S9504,6
Pseudosynechococcus sp. MIT S9508,6
Pseudosynechococcus sp. MIT S9509,6
Pseudosynechococcus sp. NAT40,6
Pseudosynechococcus sp. NP17,6
Pseudosynechococcus sp. UW105,6
Pseudosynechococcus sp. UW140,6
Pseudosynechococcus sp. UW179A,6
Pseudosynechococcus sp. WH 8020,6
Pseudosynechococcus sp. WH 8101,6
Pseudosynechococcus subtropicalis WH 7805,6
Pseudosynechococcus sudipacificus UW179B,6
Pseudosynechococcus sudipacificus WH 8016,6
Synechococcus elongatus PCC 6301,7
Synechococcus elongatus PCC 7942,7
Synechococcus elongatus UTEX 2973,7
Synechococcus elongatus UTEX 3055,7
Synechococcus sp. PCC 11801,7
