Genome,K-group
Inmanicoccus mediterranei RCC307,0
Inmanicoccus sp. TMED19,0
Lacustricoccus lacustris TousA,0
Lacustricoccus lacustris TousB,0
Magnicoccus indicus CB0205,0
Magnicoccus indicus XM-24,0
Magnicoccus sudiatlanticus CB0101,0
Parasynechococcus africanus CC9605,0
Parasynechococcus chilensis CC9902,0
Parasynechococcus marearabicus WH 8109,0
Parasynechococcus marenigrum WH 8102,0
Parasynechococcus marenigrum WH 8103,0
Parasynechococcus marenigrum YX04-3,0
Parasynechococcus nordiatlanticus BL107,0
Parasynechococcus sp. CC9616,0
Parasynechococcus sp. KORDI-100,0
Parasynechococcus sp. KORDI-49,0
Parasynechococcus sp. KORDI-52,0
Parasynechococcus sp. N19,0
Parasynechococcus sp. N26,0
Parasynechococcus sp. N32,0
Parasynechococcus sp. N5,0
Parasynechococcus sp. REDSEA-S01_B1,0
Parasynechococcus sp. REDSEA-S02_B4,0
Parasynechococcus sp. UW106,0
Parasynechococcus sp. UW69,0
Parasynechococcus sp. UW86,0
Pseudosynechococcus benguelii CC9311,0
Pseudosynechococcus equatorialis RS9917,0
Pseudosynechococcus gyrus RS9916,0
Pseudosynechococcus pacificus WH 7803,0
Pseudosynechococcus sp. BS55D,0
Pseudosynechococcus sp. BS56D,0
Pseudosynechococcus sp. GEYO,0
Pseudosynechococcus sp. MED-G135,0
Pseudosynechococcus sp. MED-G68,0
Pseudosynechococcus sp. MIT S9504,0
Pseudosynechococcus sp. MIT S9508,0
Pseudosynechococcus sp. MIT S9509,0
Pseudosynechococcus sp. NAT40,0
Pseudosynechococcus sp. NP17,0
Pseudosynechococcus sp. UW105,0
Pseudosynechococcus sp. UW140,0
Pseudosynechococcus sp. UW179A,0
Pseudosynechococcus sp. WH 8020,0
Pseudosynechococcus sp. WH 8101,0
Pseudosynechococcus subtropicalis WH 7805,0
Pseudosynechococcus sudipacificus UW179B,0
Pseudosynechococcus sudipacificus WH 8016,0
Regnicoccus antarcticus WH 5701,0
Regnicoccus sp. 1G10,0
Regnicoccus sp. 8F6,0
Regnicoccus sp. Ace-Pa,0
Regnicoccus sp. BO 8801,0
Regnicoccus sp. MW101C3,0
Regnicoccus sp. SynAce01,0
Synechospongium sp. SB0662_bin_14,1
Synechospongium sp. SB0666_bin_14,1
Synechospongium sp. SB0667_bin_8,1
Synechospongium sp. SB0668_bin_13,1
Synechospongium sp. SB0668_bin_15,1
Synechospongium sp. SB0675_bin_6,1
Synechospongium sp. SB0675_bin_7,1
Synechospongium sp. SB0677_bin_5,1
Synechospongium sp. SP3,1
Enugrolinea Euryhalinus PCC 11901,2
Enugrolinea euryhalinus BDU 130192,2
Enugrolinea euryhalinus NKBG042902,2
Enugrolinea euryhalinus OG1,2
Enugrolinea euryhalinus PCC 7002,2
Enugrolinea euryhalinus PCC 7117,2
Enugrolinea euryhalinus PCC 73109,2
Enugrolinea euryhalinus PCC 8807,2
Enugrolinea euryhalinus PCC_7002,2
Enugrolinea sp. NIES-970,2
Enugrolinea sp. NKBG15041c,2
Enugrolinea sp. PCC 7003,2
Leptococcus springii JA-2-3-Ba,2
Leptococcus yellowstonii 60AY4M2,2
Leptococcus yellowstonii 63AY4M1,2
Leptococcus yellowstonii 63AY4M2,2
Leptococcus yellowstonii 65AY640,2
Leptococcus yellowstonii 65AY6A5,2
Leptococcus yellowstonii 65AY6Li,2
Leptococcus yellowstonii JA-3-3Ab,2
Synechococcus elongatus PCC 6301,2
Synechococcus elongatus PCC 7942,2
Synechococcus elongatus UTEX 2973,2
Synechococcus elongatus UTEX 3055,2
Synechococcus sp. PCC 11801,2
Thermosynechococcus elongatus PKUAC-SCTE542,2
Thermosynechococcus sp. CL-1,2
Thermosynechococcus sp. NK55a,2
Thermosynechococcus sp. PCC 6715,2
Thermosynechococcus vulcanus BP-1,2
Thermosynechococcus vulcanus NIES-2134,2
